window_size,sync_depth,success_rate,avg_mac_us,avg_total_us
1,0,1.000000,257.57,6630.04
1,1,1.000000,266.06,5765.98
1,2,0.000000,317.88,317.88
1,4,0.000000,270.79,270.79
1,8,0.000000,266.84,266.84
1,16,0.000000,305.06,305.06
1,32,0.000000,265.43,265.43
1,64,0.000000,262.88,262.88
2,0,1.000000,160.82,5828.33
2,1,1.000000,287.15,6434.40
2,2,1.000000,420.77,6529.76
2,4,0.000000,401.83,401.83
2,8,0.000000,380.18,380.18
2,16,0.000000,401.37,401.37
2,32,0.000000,479.94,479.94
2,64,0.000000,373.47,373.47
4,0,1.000000,145.88,6286.40
4,1,1.000000,344.25,6875.78
4,2,1.000000,339.18,6864.34
4,4,1.000000,587.40,6764.26
4,8,0.000000,624.80,624.80
4,16,0.000000,698.62,698.62
4,32,0.000000,639.40,639.40
4,64,0.000000,563.74,563.74
8,0,1.000000,134.95,5744.59
8,1,1.000000,219.56,5497.90
8,2,1.000000,359.45,6156.89
8,4,1.000000,563.27,5882.01
8,8,1.000000,993.91,6521.85
8,16,0.000000,932.62,932.62
8,32,0.000000,990.15,990.15
8,64,0.000000,1040.56,1040.56
16,0,1.000000,131.16,6427.71
16,1,1.000000,279.35,6020.11
16,2,1.000000,351.51,5812.58
16,4,1.000000,628.24,6538.15
16,8,1.000000,1175.47,6674.26
16,16,1.000000,2377.76,8131.62
16,32,0.000000,2239.88,2239.88
16,64,0.000000,2064.80,2064.80
32,0,1.000000,178.03,6334.44
32,1,1.000000,286.76,7832.68
32,2,1.000000,443.12,7532.59
32,4,1.000000,746.14,7748.01
32,8,1.000000,1384.24,8142.03
32,16,1.000000,2006.23,8505.85
32,32,1.000000,3394.25,10021.05
32,64,0.000000,3747.49,3747.49
