trial,lpa_precompute_us,euicc_commit_us,challenge_gen_us,tee_authtoken_us,euicc_mask_us,lpa_aggregate_us,server_verify_us,total_us,euicc_total_us,lpa_total_us,tee_total_us,server_total_us
379,4573.95,9929.58,90.39,38.56,1483.64,15.26,3494.80,19626.16,11413.22,4589.20,38.56,3494.80
380,3501.52,10720.77,125.25,43.55,1489.55,12.37,2965.30,18858.31,12210.32,3513.89,43.55,2965.30
381,3673.44,9600.94,142.91,41.58,1558.87,16.25,2648.88,17682.88,11159.81,3689.69,41.58,2648.88
382,4341.12,12314.08,117.33,40.55,1597.82,18.34,2848.08,21277.31,13911.90,4359.46,40.55,2848.08
383,3525.76,9430.48,98.52,41.38,1373.53,17.18,3890.88,18377.73,10804.01,3542.94,41.38,3890.88
384,3407.48,9620.85,98.40,76.89,1539.34,11.81,2694.17,17448.94,11160.19,3419.29,76.89,2694.17
385,3739.72,9961.39,95.61,35.81,2350.22,19.61,3283.63,19485.99,12311.61,3759.33,35.81,3283.63
386,4306.91,9564.69,95.47,38.10,1763.60,10.59,2562.32,18341.69,11328.29,4317.50,38.10,2562.32
387,3973.88,9390.64,103.60,42.88,1442.27,10.40,2765.27,17728.94,10832.91,3984.28,42.88,2765.27
388,3531.18,9091.07,99.06,35.03,1664.82,14.95,3616.69,18052.80,10755.89,3546.13,35.03,3616.69
389,3292.68,9222.53,87.27,36.16,1389.67,11.07,2702.96,16742.34,10612.20,3303.75,36.16,2702.96
390,3336.81,10519.81,97.43,34.05,1378.23,15.34,3390.34,18772.02,11898.04,3352.16,34.05,3390.34
391,3723.23,8784.45,82.44,32.90,1908.79,13.32,3116.87,17662.00,10693.24,3736.55,32.90,3116.87
392,5130.11,10608.76,90.69,37.23,1345.90,12.64,2767.09,19992.40,11954.66,5142.74,37.23,2767.09
393,3843.23,8983.42,85.86,34.73,1427.02,12.25,4740.62,19127.13,10410.44,3855.48,34.73,4740.62
394,3400.85,9147.11,82.92,34.00,1344.37,16.20,2711.74,16737.18,10491.48,3417.05,34.00,2711.74
395,4911.45,10506.53,107.59,69.56,1444.58,10.67,2803.30,19853.68,11951.10,4922.13,69.56,2803.30
396,3972.56,9311.60,136.17,65.54,1323.90,10.32,3316.94,18137.03,10635.50,3982.88,65.54,3316.94
397,3300.72,10996.26,92.23,35.99,1376.38,15.23,2889.06,18705.87,12372.64,3315.94,35.99,2889.06
398,3607.48,11181.26,195.07,63.85,2310.40,11.30,2533.86,19903.21,13491.66,3618.78,63.85,2533.86
399,3496.73,9887.54,85.72,35.27,1448.90,10.68,2662.03,17626.87,11336.43,3507.41,35.27,2662.03
400,3437.30,10383.85,101.56,40.31,1604.37,11.47,2768.47,18347.31,11988.22,3448.77,40.31,2768.47
401,3601.06,9598.07,103.90,43.47,1553.26,11.44,2719.88,17631.10,11151.33,3612.51,43.47,2719.88
402,3654.19,9891.34,85.90,34.54,1830.18,12.80,3347.02,18855.96,11721.52,3666.99,34.54,3347.02
403,3870.27,9572.34,108.12,42.71,1596.15,12.66,5079.37,20281.62,11168.49,3882.93,42.71,5079.37
404,3583.45,9045.93,137.70,49.08,1759.43,12.56,3450.64,18038.79,10805.36,3596.00,49.08,3450.64
405,3772.48,10334.57,218.43,56.59,2037.19,12.87,3605.74,20037.86,12371.76,3785.34,56.59,3605.74
406,3790.65,9516.82,133.21,44.35,1343.10,10.94,2766.73,17605.80,10859.92,3801.59,44.35,2766.73
407,4200.08,10815.15,102.08,39.57,1625.07,13.28,3578.07,20373.31,12440.22,4213.36,39.57,3578.07
408,5114.10,11885.20,109.76,42.69,1661.61,10.54,2547.22,21371.11,13546.81,5124.64,42.69,2547.22
409,4423.10,9823.68,108.23,33.95,1389.86,10.59,2771.25,18560.67,11213.55,4433.70,33.95,2771.25
410,5049.28,12488.12,102.35,38.58,1537.40,24.65,2951.76,22192.15,14025.52,5073.94,38.58,2951.76
411,3651.16,11781.33,151.73,81.54,1427.60,11.52,3683.08,20787.97,13208.94,3662.68,81.54,3683.08
412,3474.66,11270.12,109.05,39.50,1489.89,17.94,2849.91,19251.08,12760.02,3492.61,39.50,2849.91
413,3866.58,11475.70,106.24,40.83,1444.31,11.81,3098.86,20044.33,12920.01,3878.39,40.83,3098.86
414,3645.90,9995.56,101.10,69.93,1721.64,19.58,3039.93,18593.63,11717.20,3665.48,69.93,3039.93
415,3755.21,10787.90,119.09,48.13,2530.51,11.31,2773.64,20025.79,13318.40,3766.53,48.13,2773.64
416,3944.54,11663.64,103.03,37.66,1601.82,11.29,2859.72,20221.70,13265.46,3955.83,37.66,2859.72
417,3411.58,9486.35,107.20,38.96,1407.62,12.25,2897.71,17361.69,10893.98,3423.83,38.96,2897.71
418,4126.08,10625.50,100.97,37.95,1441.53,10.77,2869.04,19211.85,12067.04,4136.85,37.95,2869.04
419,3889.79,9445.85,129.15,40.04,1474.80,10.55,3134.12,18124.31,10920.65,3900.34,40.04,3134.12
420,3581.65,9863.48,144.28,58.35,1755.78,11.66,2820.02,18235.22,11619.26,3593.30,58.35,2820.02
421,4614.82,10443.43,100.93,42.48,1382.21,15.44,2874.78,19474.10,11825.64,4630.26,42.48,2874.78
422,4525.79,11620.98,102.01,43.02,1403.19,12.30,3513.97,21221.26,13024.17,4538.09,43.02,3513.97
423,3606.56,11212.14,109.09,40.98,1703.52,10.31,2712.47,19395.07,12915.66,3616.87,40.98,2712.47
424,3618.68,10188.20,116.27,41.99,1390.91,13.08,3350.92,18720.05,11579.11,3631.76,41.99,3350.92
425,3649.17,9019.14,92.64,37.99,1704.83,10.22,2648.74,17162.73,10723.97,3659.39,37.99,2648.74
426,3597.88,10848.58,97.86,37.12,1513.70,10.17,2895.30,19000.62,12362.29,3608.06,37.12,2895.30
427,4204.76,9263.33,97.72,33.85,1384.03,12.59,4255.59,19251.87,10647.36,4217.35,33.85,4255.59
428,4149.27,10668.25,128.48,45.94,1463.25,10.00,2482.82,18948.01,12131.51,4159.27,45.94,2482.82
429,3398.95,10418.17,107.16,36.51,2131.10,12.96,2837.16,18942.00,12549.27,3411.91,36.51,2837.16
430,3870.46,9145.58,93.30,38.50,1391.03,10.51,3535.64,18085.03,10536.61,3880.98,38.50,3535.64
431,4398.63,12331.08,109.89,48.60,1409.36,11.38,2819.02,21127.97,13740.44,4410.01,48.60,2819.02
432,3446.01,9989.65,244.45,63.64,1635.44,12.39,2897.71,18289.28,11625.08,3458.40,63.64,2897.71
433,4642.47,9685.70,100.59,36.83,1392.84,12.68,2832.06,18703.17,11078.54,4655.15,36.83,2832.06
434,3573.04,10700.79,106.37,36.32,1358.65,11.51,2812.03,18598.71,12059.45,3584.55,36.32,2812.03
435,3328.09,9641.13,99.13,43.93,1497.50,10.57,2672.63,17292.97,11138.63,3338.66,43.93,2672.63
436,4538.23,9382.90,92.75,37.51,1310.19,10.52,3482.19,18854.29,10693.09,4548.76,37.51,3482.19
437,4504.93,11278.67,100.46,160.88,1415.06,11.79,2742.51,20214.30,12693.73,4516.72,160.88,2742.51
438,4150.00,10781.58,105.92,39.37,1641.17,11.32,3210.61,19939.97,12422.74,4161.31,39.37,3210.61
439,3892.83,10203.87,128.31,46.56,1539.34,12.96,2963.19,18787.06,11743.21,3905.79,46.56,2963.19
440,3702.48,10846.89,106.73,37.80,1393.45,13.11,2769.03,18869.50,12240.34,3715.59,37.80,2769.03
441,4646.34,9238.88,110.08,44.39,1421.82,11.50,3533.70,19006.72,10660.70,4657.84,44.39,3533.70
442,3866.40,12050.24,119.56,44.45,1622.44,11.46,3285.02,20999.56,13672.68,3877.85,44.45,3285.02
443,3738.24,11932.43,114.31,56.02,1493.91,10.87,3369.26,20715.03,13426.34,3749.11,56.02,3369.26
444,4036.06,10201.04,114.11,43.16,1544.02,13.62,2829.20,18781.21,11745.06,4049.68,43.16,2829.20
445,3676.18,8979.53,95.55,39.07,1317.53,10.16,3981.81,18099.83,10297.06,3686.34,39.07,3981.81
446,3843.75,9563.11,101.49,37.31,1388.17,12.58,2913.50,17859.91,10951.27,3856.33,37.31,2913.50
447,3745.20,9724.06,96.35,37.74,1507.44,10.77,2744.62,17866.18,11231.50,3755.96,37.74,2744.62
448,3571.17,12381.54,100.11,36.86,1324.97,10.51,2999.70,20424.87,13706.51,3581.69,36.86,2999.70
449,3722.13,9998.48,100.88,42.10,1456.28,10.56,2764.41,18094.84,11454.77,3732.69,42.10,2764.41
450,4063.04,12475.40,110.67,45.28,1507.12,14.29,3085.59,21301.39,13982.52,4077.33,45.28,3085.59
451,3778.39,9904.52,103.83,37.08,1381.97,12.36,2682.52,17900.67,11286.49,3790.75,37.08,2682.52
452,5136.23,10633.27,113.46,40.00,1722.57,10.65,2866.63,20522.80,12355.83,5146.88,40.00,2866.63
453,3698.77,14040.30,105.66,42.29,1344.75,10.19,2873.92,22115.87,15385.05,3708.96,42.29,2873.92
454,6917.90,16458.98,130.99,42.33,1678.15,17.84,3024.51,28270.71,18137.13,6935.74,42.33,3024.51
455,4804.91,11639.32,103.38,38.78,1443.80,10.95,2969.57,21010.70,13083.12,4815.85,38.78,2969.57
456,3977.26,12296.90,100.62,38.79,1471.98,12.38,2996.17,20894.11,13768.88,3989.64,38.79,2996.17
457,3851.70,13063.96,141.14,58.96,2725.92,12.13,3622.85,23476.66,15789.88,3863.82,58.96,3622.85
458,3697.00,9971.62,97.39,42.45,1438.45,11.51,2851.45,18109.87,11410.07,3708.51,42.45,2851.45
459,3287.23,12982.50,96.22,36.90,1398.20,15.02,3847.25,21663.31,14380.70,3302.25,36.90,3847.25
460,4229.98,9778.56,102.38,42.92,1330.78,11.78,3212.26,18708.66,11109.34,4241.76,42.92,3212.26
461,3627.86,11096.81,106.26,38.36,1442.75,10.94,2770.49,19093.46,12539.55,3638.80,38.36,2770.49
462,3781.57,10303.23,108.52,38.91,1839.15,13.97,3048.49,19133.84,12142.38,3795.54,38.91,3048.49
463,3386.69,9648.08,118.13,46.45,1445.39,11.00,2748.71,17404.46,11093.48,3397.69,46.45,2748.71
464,4564.24,10826.79,104.39,37.01,1475.42,10.47,3211.22,20229.54,12302.21,4574.71,37.01,3211.22
465,4063.61,12754.80,102.99,39.68,1728.58,12.34,2830.29,21532.29,14483.38,4075.95,39.68,2830.29
466,3715.11,10868.99,102.62,42.76,1665.54,10.91,2732.59,19138.51,12534.53,3726.02,42.76,2732.59
467,4140.15,9718.49,138.14,41.42,2110.39,18.65,3986.56,20153.80,11828.88,4158.81,41.42,3986.56
468,4655.69,11991.78,124.80,53.65,1785.26,11.38,3023.29,21645.86,13777.05,4667.08,53.65,3023.29
469,3657.31,9002.59,100.74,38.95,2800.22,10.29,2831.65,18441.75,11802.82,3667.60,38.95,2831.65
470,4497.84,9414.63,98.83,40.38,1479.66,10.90,2763.45,18305.70,10894.30,4508.74,40.38,2763.45
471,3655.17,12554.98,212.66,71.56,2154.94,14.60,2927.50,21591.41,14709.92,3669.77,71.56,2927.50
472,4059.78,11234.73,103.44,45.10,1412.88,12.02,2948.38,19816.32,12647.61,4071.80,45.10,2948.38
473,3646.66,10938.72,106.43,41.77,1458.60,12.16,2958.21,19162.55,12397.32,3658.82,41.77,2958.21
474,3460.23,9231.28,133.18,52.35,1464.71,13.26,3205.76,17560.78,10695.99,3473.49,52.35,3205.76
475,3647.27,10628.96,100.19,41.03,1379.62,13.48,2865.72,18676.27,12008.58,3660.75,41.03,2865.72
476,3549.22,11231.54,144.11,69.91,1805.26,26.93,3295.24,20122.21,13036.80,3576.15,69.91,3295.24
477,3718.12,9613.03,143.94,57.18,1459.83,12.51,2672.25,17676.85,11072.86,3730.63,57.18,2672.25
478,3212.58,10478.33,87.50,35.14,1537.31,15.25,3023.39,18389.49,12015.64,3227.83,35.14,3023.39
479,3356.71,8693.98,97.22,39.26,1509.67,10.54,2682.04,16389.41,10203.65,3367.25,39.26,2682.04
480,5029.36,10817.07,101.36,36.80,1644.93,10.88,3080.02,20720.40,12462.00,5040.23,36.80,3080.02
481,3597.58,9893.78,105.99,41.30,1574.39,17.72,2982.54,18213.30,11468.18,3615.29,41.30,2982.54
482,3653.88,9774.20,90.34,37.54,1470.35,10.16,2540.38,17576.85,11244.56,3664.04,37.54,2540.38
483,4282.84,10544.90,108.90,38.60,1542.63,10.04,2664.45,19192.36,12087.53,4292.88,38.60,2664.45
484,3402.80,9784.01,106.31,45.57,1550.62,9.94,2627.30,17526.54,11334.63,3412.74,45.57,2627.30
485,3814.78,10305.91,99.78,40.21,1515.00,11.51,3126.51,18913.69,11820.91,3826.28,40.21,3126.51
486,3555.50,12879.89,95.70,36.94,1507.29,10.25,2537.46,20623.03,14387.18,3565.75,36.94,2537.46
487,3602.60,10879.22,106.27,43.07,1578.35,11.01,2725.91,18946.43,12457.57,3613.62,43.07,2725.91
488,4232.51,10131.42,98.49,39.94,1439.80,17.43,3719.61,19679.20,11571.22,4249.94,39.94,3719.61
489,3733.42,9902.39,101.40,54.61,1801.93,15.18,2849.75,18458.68,11704.32,3748.60,54.61,2849.75
490,3545.33,9900.89,97.37,39.89,1487.01,10.69,2552.01,17633.18,11387.90,3556.02,39.89,2552.01
491,3550.69,9325.67,98.40,37.20,1378.00,12.69,3852.28,18254.93,10703.67,3563.38,37.20,3852.28
492,4241.27,10795.21,103.68,37.92,1549.18,10.44,2722.68,19460.37,12344.39,4251.71,37.92,2722.68
493,4126.38,9745.54,105.72,39.36,1647.18,11.35,2835.75,18511.27,11392.72,4137.73,39.36,2835.75
494,3563.69,9014.36,91.74,37.70,1221.94,12.19,3459.93,17401.55,10236.30,3575.87,37.70,3459.93
495,4280.07,11342.13,108.19,44.43,1635.04,11.80,3058.16,20479.83,12977.17,4291.88,44.43,3058.16
496,3400.33,10393.97,92.15,36.89,1676.62,10.44,2829.16,18439.56,12070.59,3410.77,36.89,2829.16
497,4321.13,9242.30,119.19,45.17,1487.14,10.46,2639.21,17864.59,10729.44,4331.59,45.17,2639.21
498,3886.50,11718.26,124.60,55.66,2303.17,33.95,2801.01,20923.16,14021.43,3920.45,55.66,2801.01
499,3605.26,9431.93,119.13,45.30,2175.19,13.24,2874.12,18264.17,11607.12,3618.50,45.30,2874.12
500,3537.86,11526.42,121.84,40.73,1901.88,13.51,3718.27,20860.51,13428.30,3551.37,40.73,3718.27
