trial,lpa_precompute_us,euicc_commit_us,challenge_gen_us,tee_authtoken_us,euicc_mask_us,lpa_aggregate_us,server_verify_us,total_us,euicc_total_us,lpa_total_us,tee_total_us,server_total_us
239,4096.68,9799.10,95.08,39.47,1295.51,10.04,3105.65,18441.54,11094.61,4106.72,39.47,3105.65
240,3392.03,9849.47,106.90,39.94,2269.94,12.22,3102.89,18773.37,12119.41,3404.24,39.94,3102.89
241,3259.52,9242.82,86.23,35.34,1374.00,10.51,2638.74,16647.17,10616.82,3270.03,35.34,2638.74
242,3336.91,9702.60,97.72,40.05,1388.36,10.73,2619.03,17195.39,11090.96,3347.64,40.05,2619.03
243,4020.94,10149.39,98.77,37.89,1496.12,10.94,2986.78,18800.84,11645.52,4031.89,37.89,2986.78
244,4102.03,10043.16,278.90,61.94,1652.34,15.94,2884.26,19038.56,11695.49,4117.97,61.94,2884.26
245,3864.13,10622.33,134.56,39.93,1738.23,12.00,2754.59,19165.77,12360.56,3876.14,39.93,2754.59
246,3837.51,8838.95,87.43,35.11,1464.70,10.32,2948.73,17222.76,10303.65,3847.83,35.11,2948.73
247,4194.77,9726.02,93.71,37.15,1536.41,10.28,2578.59,18176.93,11262.44,4205.05,37.15,2578.59
248,3449.84,10004.09,97.27,35.48,1281.79,10.42,2566.84,17445.72,11285.88,3460.26,35.48,2566.84
249,3294.72,12776.81,114.47,41.17,1694.28,10.47,2770.13,20702.04,14471.08,3305.19,41.17,2770.13
250,3375.18,8717.33,110.28,39.25,1469.03,10.62,3657.57,17379.26,10186.37,3385.79,39.25,3657.57
251,3552.40,9932.35,95.31,33.96,1457.03,11.90,2766.75,17849.71,11389.38,3564.31,33.96,2766.75
252,3401.78,9831.10,88.39,36.43,1327.80,12.21,2856.31,17554.02,11158.90,3413.98,36.43,2856.31
253,4758.80,11215.88,90.06,36.44,1969.72,12.04,2752.71,20835.65,13185.61,4770.84,36.44,2752.71
254,3707.49,11691.25,103.38,37.96,1545.41,11.73,2676.45,19773.66,13236.65,3719.22,37.96,2676.45
255,3948.95,9303.01,88.81,83.40,1320.40,12.91,3961.08,18718.57,10623.42,3961.86,83.40,3961.08
256,3464.81,8680.51,134.97,44.31,1440.09,10.35,2641.56,16416.60,10120.60,3475.16,44.31,2641.56
257,3171.60,11181.15,94.03,37.57,1361.88,12.34,2790.25,18648.82,12543.03,3183.95,37.57,2790.25
258,3191.47,12247.78,97.61,37.89,1400.52,11.53,3044.02,20030.81,13648.29,3203.00,37.89,3044.02
259,3336.54,12417.95,93.87,36.33,1569.69,10.17,2568.72,20033.28,13987.64,3346.71,36.33,2568.72
260,3418.95,9053.70,83.57,33.69,1322.62,10.34,2830.10,16752.98,10376.32,3429.29,33.69,2830.10
261,3757.91,9285.41,85.87,35.57,1866.46,15.24,3402.42,18448.88,11151.87,3773.15,35.57,3402.42
262,4182.90,11078.68,105.03,43.74,2169.79,10.94,2761.80,20352.89,13248.47,4193.84,43.74,2761.80
263,3741.88,9539.71,102.17,41.65,1386.32,10.89,3419.62,18242.25,10926.03,3752.77,41.65,3419.62
264,4422.44,9729.89,89.62,34.88,1410.88,10.00,3391.43,19089.16,11140.78,4432.44,34.88,3391.43
265,4214.27,11562.66,123.91,59.13,1558.70,17.06,4029.67,21565.39,13121.36,4231.32,59.13,4029.67
266,3384.08,9892.16,86.28,36.33,1445.43,12.18,2658.29,17514.75,11337.59,3396.25,36.33,2658.29
267,9050.04,14922.46,95.92,37.16,1517.24,12.06,2839.71,28474.59,16439.70,9062.10,37.16,2839.71
268,3867.71,10088.48,99.08,41.11,1400.48,11.48,2832.86,18341.21,11488.96,3879.19,41.11,2832.86
269,3611.42,9861.16,101.14,42.17,1387.76,12.23,2761.47,17777.34,11248.92,3623.65,42.17,2761.47
270,3436.93,11710.70,246.53,78.20,2241.07,10.63,3044.85,20768.92,13951.77,3447.56,78.20,3044.85
271,3720.78,9143.85,99.08,35.17,3984.67,13.48,2720.42,19717.46,13128.52,3734.27,35.17,2720.42
272,3525.60,10574.29,105.17,38.60,1400.88,22.38,2836.60,18503.53,11975.16,3547.99,38.60,2836.60
